"","s1.pileup.freq","s2.pileup.freq","s3.pileup.freq","s4.pileup.freq","s5.pileup.freq"
"chr1:23857148",1405,1145,1130,1511,1318
"chr1:23857149",1431,1158,1128,1518,1317
"chr1:23857150",1402,1155,1114,1520,1311
"chr1:23857151",1421,1165,1119,1527,1312
"chr1:23857152",1419,1149,1122,1526,1307
"chr1:23857153",1430,1152,1123,1526,1309
"chr1:23857154",1436,1150,1123,1531,1309
"chr1:23857155",1417,1135,1106,1511,1291
"chr1:23857156",1416,1130,1099,1514,1288
"chr1:23857157",1418,1139,1088,1514,1291
"chr1:23857158",1415,1126,1074,1517,1281
"chr1:23857159",1395,1089,1040,1474,1254
"chr1:23857160",1374,1075,1030,1464,1246
"chr1:23857161",1388,1077,1035,1479,1253
"chr1:23857162",1391,1079,1039,1481,1252
"chr1:23857163",1385,1066,1034,1482,1250
"chr1:23857164",1388,1071,1037,1504,1256
"chr1:23857165",1385,1064,1025,1501,1251
"chr1:23857166",1372,1059,1024,1511,1249
"chr1:23857167",1374,1065,1028,1538,1251
"chr1:23857168",1372,1062,1028,1542,1247
"chr1:23857169",1359,1060,1025,1545,1243
"chr1:23857170",1371,1054,1027,1554,1244
"chr1:23857171",1376,1052,1025,1559,1236
"chr1:23857172",1366,1033,1011,1557,1231
"chr1:23857173",1357,1033,990,1553,1221
"chr1:23857174",1343,1032,958,1556,1202
"chr1:23857175",1338,1029,952,1563,1198
"chr1:23857176",1340,1022,951,1557,1200
"chr1:23857177",1345,1022,950,1565,1202
"chr1:23857178",1338,1027,951,1571,1205
"chr1:23857179",1324,1021,944,1567,1200
"chr1:23857180",1333,1029,950,1573,1203
"chr1:23857181",1336,1022,950,1586,1188
"chr1:23857182",1326,1010,942,1577,1178
"chr1:23857183",1300,987,920,1542,1158
"chr1:23857184",1288,998,914,1536,1155
"chr1:23857185",1285,987,912,1543,1154
"chr1:23857186",1278,983,911,1533,1136
"chr1:23857187",1278,981,914,1547,1143
"chr1:23857188",1272,984,917,1552,1137
"chr1:23857189",1267,992,919,1559,1131
"chr1:23857190",1270,993,919,1572,1130
"chr1:23857191",1251,982,908,1554,1116
"chr1:23857192",1252,980,905,1553,1119
"chr1:23857193",1249,972,899,1560,1121
"chr1:23857194",1258,974,902,1583,1120
"chr1:23857195",1243,968,902,1575,1109
"chr1:23857196",1241,960,902,1575,1104
"chr1:23857197",1242,953,903,1588,1105
"chr1:23857198",1240,962,903,1624,1108
"chr1:23857199",1238,956,897,1625,1099
"chr1:23857200",1238,955,897,1623,1101
"chr1:23857201",1229,951,893,1631,1109
"chr1:23857202",1232,951,898,1631,1109
"chr1:23857203",1223,945,891,1631,1100
"chr1:23857204",1228,936,895,1651,1102
"chr1:23857205",1215,936,888,1643,1098
"chr1:23857206",1202,930,871,1630,1087
"chr1:23857207",1197,922,873,1623,1082
"chr1:23857208",1200,922,877,1628,1086
"chr1:23857209",1188,919,871,1640,1083
"chr1:23857210",1191,917,875,1645,1085
"chr1:23857211",1193,916,874,1646,1087
"chr1:23857212",1189,910,876,1645,1083
"chr1:23857213",1184,903,876,1629,1079
"chr1:23857214",1182,910,872,1644,1078
"chr1:23857215",1177,910,869,1656,1065
"chr1:23857216",1140,871,822,1625,1019
"chr1:23857217",1132,860,819,1618,1002
"chr1:23857218",1133,857,815,1632,1003
"chr1:23857219",1118,852,804,1618,1000
"chr1:23857220",1128,859,809,1625,999
"chr1:23857221",1127,857,807,1630,1000
"chr1:23857222",1122,849,804,1625,994
"chr1:23857223",1126,847,806,1631,997
"chr1:23857224",1126,851,807,1626,995
"chr1:23857225",1122,843,805,1617,991
"chr1:23857226",1125,837,804,1616,989
"chr1:23857227",1119,841,795,1613,987
"chr1:23857228",1113,813,779,1587,960
"chr1:23857229",1104,765,765,1566,928
"chr1:23857230",1095,739,764,1555,906
"chr1:23857231",1098,736,768,1559,905
"chr1:23857232",1103,742,772,1578,912
"chr1:23857233",1091,736,765,1573,903
"chr1:23857234",1102,739,765,1568,897
"chr1:23857235",1102,738,770,1561,897
"chr1:23857236",1098,726,768,1553,894
"chr1:23857237",1099,731,769,1553,893
"chr1:23857238",1100,730,768,1544,891
"chr1:23857239",1096,727,765,1542,881
"chr1:23857240",1085,704,748,1532,854
"chr1:23857241",1061,681,735,1509,821
"chr1:23857242",1057,682,734,1494,813
"chr1:23857243",1048,671,732,1481,810
"chr1:23857244",1046,666,729,1475,801
"chr1:23857245",1038,665,723,1453,793
"chr1:23857246",1044,664,725,1459,801
"chr1:23857247",1050,667,726,1456,800
"chr1:23857248",1041,661,717,1453,796
"chr1:23857249",1023,660,716,1446,787
"chr1:23857250",1015,645,704,1433,780
"chr1:23857251",1014,649,706,1425,775
"chr1:23857252",1002,642,701,1418,770
"chr1:23857253",1007,641,699,1413,765
"chr1:23857254",1009,639,699,1409,762
"chr1:23857255",989,633,689,1387,749
"chr1:23857256",962,623,672,1346,727
"chr1:23857257",952,612,668,1327,723
"chr1:23857258",925,592,662,1296,708
"chr1:23857259",911,590,655,1269,700
"chr1:23857260",913,590,654,1269,700
"chr1:23857261",910,593,650,1265,697
"chr1:23857262",912,596,648,1255,699
"chr1:23857263",898,589,647,1246,694
"chr1:23857264",881,573,634,1214,679
"chr1:23857265",876,574,637,1208,679
"chr1:23857266",865,566,632,1188,673
"chr1:23857267",852,544,631,1168,668
"chr1:23857268",860,542,638,1161,668
"chr1:23857269",853,538,636,1142,668
"chr1:23857270",846,542,639,1134,659
"chr1:23857271",840,541,634,1129,660
"chr1:23857272",818,532,626,1101,647
"chr1:23857273",797,520,615,1078,633
"chr1:23857274",779,518,604,1057,625
"chr1:23857275",777,520,600,1045,629
"chr1:23857276",777,519,599,1042,629
"chr1:23857277",768,515,593,1037,620
"chr1:23857278",771,513,592,1042,629
"chr1:23857279",775,513,589,1047,633
"chr1:23857280",761,509,584,1026,622
"chr1:23857281",755,504,579,1009,617
"chr1:23857282",755,505,574,1003,608
"chr1:23857283",750,502,574,1001,605
"chr1:23857284",741,481,569,986,590
"chr1:23857285",727,476,566,974,582
"chr1:27238336",9582,10316,8194,10131,8745
"chr1:27238337",9653,10417,8253,10176,8806
"chr1:27238338",9657,10401,8251,10205,8817
"chr1:27238339",9731,10459,8314,10262,8876
"chr1:27238340",9725,10505,8354,10270,8898
"chr1:27238341",9723,10527,8332,10262,8881
"chr1:27238342",9796,10568,8405,10338,8949
"chr1:27238343",9829,10604,8436,10395,8970
"chr1:27238344",9866,10636,8459,10420,8976
"chr1:27238345",9888,10652,8476,10432,8980
"chr1:27238346",9921,10669,8515,10434,9002
"chr1:27238347",9946,10686,8526,10451,9014
"chr1:27238348",9942,10711,8520,10441,9018
"chr1:27238349",9919,10693,8515,10407,9008
"chr1:27238350",9953,10722,8515,10412,9022
"chr1:27238351",9963,10724,8538,10428,9035
"chr1:27238352",9955,10726,8534,10422,9036
"chr1:27238353",9967,10770,8569,10440,9062
"chr1:27238354",9988,10781,8578,10477,9074
"chr1:27238355",9919,10741,8548,10467,9052
"chr1:27238356",10224,10901,8753,10647,9231
"chr1:27238357",10346,11033,8838,10773,9300
"chr1:27238358",10472,11113,8939,10837,9384
"chr1:27238359",10531,11168,8959,10914,9445
"chr1:27238360",10511,11178,8945,10895,9437
"chr1:27238361",10518,11177,8954,10897,9440
"chr1:27238362",10546,11189,8961,10866,9451
"chr1:27238363",10509,11155,8926,10777,9421
"chr1:27238364",10494,11125,8917,10770,9415
"chr1:27238365",10550,11184,8937,10816,9432
"chr1:27238366",10538,11157,8927,10807,9437
"chr1:27238367",10673,11250,9002,10915,9480
"chr1:27238368",10741,11319,9028,10939,9529
"chr1:27238369",10747,11351,9062,10957,9524
"chr1:27238370",10791,11404,9098,11016,9571
"chr1:27238371",10745,11389,9063,10989,9554
"chr1:27238372",10778,11410,9084,11002,9565
"chr1:27238373",10725,11379,9023,10963,9507
"chr1:27238374",10761,11419,9027,10954,9504
"chr1:27238375",10760,11418,9019,10936,9503
"chr1:27238376",10654,11281,8939,10847,9413
"chr1:27238377",10753,11376,8994,10942,9450
"chr1:27238378",10734,11398,8974,10911,9438
"chr1:27238379",10716,11392,8963,10846,9406
"chr1:27238380",10735,11387,8975,10879,9426
"chr1:27238381",10679,11320,8952,10825,9392
"chr1:27238382",10581,11232,8883,10760,9341
"chr1:27238383",10674,11285,8929,10840,9370
"chr1:27238384",10625,11203,8903,10815,9336
"chr1:27238385",11022,11462,9113,11151,9570
"chr1:27238386",10972,11387,9052,11170,9526
"chr1:27238387",10786,11187,8899,11021,9335
"chr1:27238388",10720,11100,8846,10949,9230
"chr1:27238389",10675,11084,8826,10857,9153
"chr1:27238390",10685,11105,8808,10841,9141
"chr1:27238391",10516,10992,8718,10706,8978
"chr1:27238392",10447,10878,8624,10577,8898
"chr1:27238393",10425,10865,8603,10555,8882
"chr1:27238394",10362,10838,8545,10546,8840
"chr1:27238395",10373,10627,8500,10461,8795
"chr1:27238396",10183,10385,8309,10291,8586
"chr1:27238397",9772,9895,7954,9872,8210
"chr1:27238398",9658,9816,7879,9808,8123
"chr1:27238399",9545,9692,7781,9691,8066
"chr1:27238400",9507,9674,7752,9667,8030
"chr1:27238401",9518,9654,7718,9654,8019
"chr1:27238402",9527,9663,7712,9648,8033
"chr1:27238403",9404,9585,7644,9565,7968
"chr1:27238404",9342,9580,7602,9533,7911
"chr1:27238405",9365,9571,7594,9579,7927
"chr1:27238406",9157,9327,7396,9364,7669
"chr1:27238407",9079,9243,7324,9308,7548
"chr1:27238408",9049,9228,7294,9259,7523
"chr1:27238409",8790,8973,7082,8985,7310
"chr1:27238410",9348,9463,7530,9440,7680
"chr1:27238411",9609,9648,7671,9646,7818
"chr1:27238412",9777,9825,7871,9873,7968
"chr1:27238413",9861,9950,7969,9982,8024
"chr1:27238414",9610,9793,7822,9808,7821
"chr1:27238415",9450,9664,7700,9688,7661
"chr1:27238416",9457,9627,7715,9636,7648
"chr1:27238417",9390,9532,7662,9600,7558
"chr1:27238418",9207,9441,7613,9510,7460
"chr1:27238419",9612,9765,7860,9842,7776
"chr1:27238420",9614,9743,7853,9861,7791
"chr1:27238421",9582,9721,7806,9851,7758
"chr1:27238422",8988,9382,7371,9475,7397
"chr1:27238423",9259,9559,7619,9670,7608
"chr1:27238424",9293,9588,7626,9662,7633
"chr1:27238425",9146,9374,7486,9466,7476
"chr1:27238426",9091,9283,7413,9391,7405
"chr1:27238427",8966,9209,7302,9289,7341
"chr1:27238428",9041,9196,7311,9315,7328
"chr1:27238429",9013,9152,7286,9269,7302
"chr1:27238430",9055,9111,7273,9249,7281
"chr1:27238431",9011,9098,7248,9223,7271
"chr1:27238432",9013,9123,7235,9248,7282
"chr1:27238433",9009,9097,7253,9206,7248
"chr1:27238434",8958,8956,7194,9105,7217
"chr1:27238435",9147,9029,7287,9224,7290
"chr1:27238436",9067,8932,7287,9196,7289
"chr1:27238437",9310,9222,7479,9518,7484
"chr1:27238438",9549,9347,7602,9663,7611
"chr1:27238439",9548,9301,7604,9651,7604
"chr1:27238440",9745,9435,7685,9762,7720
"chr1:27238441",9781,9449,7685,9799,7726
"chr1:27238442",9736,9337,7617,9721,7684
"chr1:27238443",9254,8820,7312,9317,7326
"chr1:27238444",9389,8946,7348,9395,7387
"chr1:27238445",9421,9002,7363,9479,7449
"chr1:27238446",9163,8781,7227,9314,7325
"chr1:27238447",9358,8981,7336,9481,7469
"chr1:27238448",9447,9062,7376,9556,7537
"chr1:27238449",9455,9018,7390,9553,7558
"chr1:27238450",9769,9173,7559,9730,7754
"chr1:27238451",9751,9175,7563,9742,7767
"chr1:27238452",9808,9223,7619,9815,7867
"chr1:27238453",9852,9282,7636,9835,7879
"chr1:27238454",9826,9225,7645,9810,7854
"chr1:27238455",9974,9393,7736,9883,7957
"chr1:27238456",9972,9427,7716,9813,7935
"chr1:27238457",9797,9311,7628,9680,7824
"chr1:27238458",9845,9333,7639,9678,7846
"chr1:27238459",9849,9322,7633,9656,7841
"chr1:27238460",9736,9243,7584,9583,7795
"chr1:27238461",9797,9269,7608,9599,7823
"chr1:27238462",9781,9247,7611,9597,7815
"chr1:27238463",9762,9300,7588,9603,7838
"chr1:27238464",9793,9304,7616,9636,7867
"chr1:27238465",9800,9286,7613,9610,7892
"chr1:27238466",9803,9275,7605,9593,7887
"chr1:27238467",9697,9220,7586,9506,7837
"chr1:27238468",9694,9195,7543,9468,7804
"chr1:27238469",9650,9167,7512,9450,7778
"chr1:27238470",9715,9176,7539,9457,7828
"chr1:27238471",9710,9161,7510,9437,7807
"chr1:27238472",9608,9078,7454,9372,7763
"chr1:27238473",9560,9033,7422,9361,7725
"chr1:27238474",9537,9047,7400,9349,7716
"chr1:27238475",9587,9114,7419,9358,7768
"chr1:27238476",9624,9118,7404,9350,7755
"chr1:27238477",9545,9095,7385,9296,7712
"chr1:27238478",9619,9062,7391,9311,7736
"chr1:27238479",9663,9067,7422,9333,7747
"chr1:27238480",9625,9056,7392,9298,7709
"chr1:27238481",9612,9007,7361,9267,7701
"chr1:27238482",9567,8911,7296,9208,7624
"chr1:27238483",9446,8823,7235,9053,7490
"chr1:27238484",9464,8833,7235,9042,7500
"chr1:27238485",9442,8800,7199,9008,7466
"chr1:27238486",9413,8791,7198,8984,7474
"chr1:27238487",9448,8810,7187,9006,7480
"chr1:27238488",9424,8784,7162,8991,7461
"chr1:27238489",9332,8683,7086,8892,7390
"chr1:27238490",9299,8642,7068,8848,7342
"chr1:27238491",9292,8653,7047,8844,7326
"chr1:27238492",9341,8677,7044,8852,7340
"chr1:27238493",9326,8679,7053,8842,7334
"chr1:27238494",9259,8633,7003,8787,7290
"chr1:27238495",9221,8611,6993,8741,7262
"chr1:27238496",9201,8591,6976,8726,7245
"chr1:27238497",9149,8557,6944,8689,7215
"chr1:27238498",8953,8414,6858,8555,7149
"chr1:27238499",9043,8451,6866,8561,7135
"chr1:27238500",9111,8514,6911,8625,7165
"chr1:27238501",9113,8511,6923,8636,7170
"chr1:27238502",9031,8441,6851,8564,7108
"chr1:27238503",9005,8410,6798,8511,7090
"chr1:27238504",8972,8320,6737,8493,7058
"chr1:27238505",8748,8118,6525,8269,6904
"chr1:27238506",8780,8128,6538,8285,6916
"chr1:27238507",8767,8137,6507,8311,6916
"chr1:27238508",8781,8122,6503,8315,6904
"chr1:27238509",8827,8157,6545,8390,6914
"chr1:27238510",8734,8036,6451,8274,6834
"chr1:27238511",8685,7973,6428,8222,6804
"chr1:27238512",8652,7951,6438,8238,6787
"chr1:27238513",8627,7873,6383,8169,6736
"chr1:27238514",8599,7861,6354,8149,6731
"chr1:27238515",8559,7838,6293,8119,6691
"chr1:27238516",8569,7867,6317,8168,6713
"chr1:27238517",8527,7847,6300,8138,6676
"chr1:27238518",8595,7910,6344,8187,6699
"chr1:27238519",8552,7844,6317,8124,6672
"chr1:27238520",8523,7803,6301,8100,6612
"chr1:27238521",8505,7775,6279,8073,6597
"chr1:27238522",8502,7781,6288,8078,6604
"chr1:27238523",8406,7704,6222,8001,6564
"chr1:27238524",8406,7697,6208,8037,6557
"chr1:27238525",8335,7636,6189,7999,6532
"chr1:27238526",8351,7638,6186,8045,6525
"chr1:27238527",8344,7628,6164,8025,6516
"chr1:27238528",8305,7624,6132,7980,6497
"chr1:27238529",8205,7545,6052,7921,6433
"chr1:27238530",8261,7604,6064,7973,6454
"chr1:27238531",8294,7604,6069,7964,6456
"chr1:27238532",8216,7528,6031,7909,6429
"chr1:27238533",8186,7495,6014,7879,6420
"chr1:27238534",8191,7498,6022,7850,6397
"chr1:27238535",8220,7562,6041,7899,6376
"chr1:27238536",8226,7534,6036,7877,6355
"chr1:27238537",8144,7508,5956,7761,6297
"chr1:27238538",8002,7418,5875,7629,6196
"chr1:27238539",7978,7413,5854,7607,6177
"chr1:27238540",7969,7373,5811,7581,6141
"chr1:27238541",7847,7230,5754,7476,6075
"chr1:27238542",7829,7194,5720,7456,6057
"chr1:27238543",7809,7188,5728,7461,6067
"chr1:27238544",7804,7172,5719,7452,6057
"chr1:27238545",7739,7150,5693,7407,6021
"chr1:27238546",7684,7094,5628,7348,5981
"chr1:27238547",7645,7040,5592,7331,5969
"chr1:27238548",7649,7049,5598,7322,5957
"chr1:27238549",7669,7054,5608,7348,5955
"chr1:27238550",7630,7012,5596,7277,5935
"chr1:27238551",7616,7007,5587,7266,5934
"chr1:27238552",7600,6999,5571,7263,5910
"chr1:27238553",7548,6944,5543,7219,5859
"chr1:27238554",7336,6816,5467,7091,5749
"chr1:27238555",7344,6811,5464,7066,5730
"chr1:27238556",7347,6812,5456,7058,5724
"chr1:27238557",7308,6795,5431,7071,5690
"chr1:27238558",7253,6715,5409,7004,5658
"chr1:27238559",7222,6707,5400,6996,5635
"chr1:27238560",7232,6705,5405,7013,5640
"chr1:27238561",7197,6707,5410,6992,5620
"chr1:27238562",7184,6698,5383,6972,5607
"chr1:27238563",7194,6693,5381,6971,5610
"chr1:27238564",7186,6685,5377,6984,5586
"chr1:27238565",7078,6623,5326,6908,5522
"chr1:27238566",7066,6598,5318,6895,5502
"chr1:27238567",7058,6575,5313,6887,5499
"chr1:27238568",7042,6563,5314,6888,5491
"chr1:27238569",7029,6548,5310,6899,5482
"chr1:27238570",6952,6486,5285,6852,5424
"chr1:27238571",6966,6464,5282,6851,5425
"chr1:27238572",6948,6432,5238,6837,5401
"chr1:27238573",6898,6410,5212,6816,5361
"chr1:27238574",6839,6344,5141,6727,5306
"chr1:27238575",6817,6334,5121,6694,5283
"chr1:27238576",6808,6317,5113,6698,5271
"chr1:27238577",6750,6282,5081,6650,5241
"chr1:27239900",10064,10077,8810,11519,9620
"chr1:27239901",10100,10110,8823,11562,9628
"chr1:27239902",10096,10110,8832,11545,9646
"chr1:27239903",10113,10128,8836,11576,9652
"chr1:27239904",10118,10128,8855,11565,9675
"chr1:27239905",10057,10090,8850,11563,9686
"chr1:27239906",10124,10159,8888,11590,9722
"chr1:27239907",10236,10272,8975,11740,9834
"chr1:27239908",10292,10352,9021,11871,9902
"chr1:27239909",10382,10440,9081,11934,9962
"chr1:27239910",10419,10474,9106,11964,10001
"chr1:27239911",10400,10494,9104,11946,9992
"chr1:27239912",10479,10573,9155,12013,10047
"chr1:27239913",10501,10580,9160,12034,10039
"chr1:27239914",10426,10538,9149,11970,10000
"chr1:27239915",10451,10593,9186,11959,10025
"chr1:27239916",10517,10639,9242,12036,10097
"chr1:27239917",10515,10624,9236,12047,10108
"chr1:27239918",10509,10632,9264,12066,10139
"chr1:27239919",10664,10733,9345,12175,10225
"chr1:27239920",10708,10790,9390,12265,10294
"chr1:27239921",10743,10817,9426,12286,10298
"chr1:27239922",10763,10809,9408,12263,10282
"chr1:27239923",10785,10831,9434,12298,10314
"chr1:27239924",10805,10887,9462,12322,10348
"chr1:27239925",10835,10911,9480,12326,10355
"chr1:27239926",10800,10876,9474,12291,10345
"chr1:27239927",10915,10987,9523,12355,10410
"chr1:27239928",10937,10998,9557,12369,10430
"chr1:27239929",10938,11002,9583,12333,10406
"chr1:27239930",10868,10945,9530,12243,10354
"chr1:27239931",11038,11113,9639,12406,10505
"chr1:27239932",11050,11130,9663,12393,10521
"chr1:27239933",11027,11127,9635,12396,10503
"chr1:27239934",10946,11113,9595,12360,10464
"chr1:27239935",10897,11131,9598,12346,10429
"chr1:27239936",10906,11149,9620,12367,10444
"chr1:27239937",10882,11155,9590,12335,10416
"chr1:27239938",10892,11176,9611,12294,10438
"chr1:27239939",11081,11367,9728,12400,10630
"chr1:27239940",11127,11388,9747,12412,10667
"chr1:27239941",11115,11349,9745,12419,10645
"chr1:27239942",11215,11399,9824,12467,10680
"chr1:27239943",11230,11408,9848,12411,10676
"chr1:27239944",11156,11324,9757,12312,10569
"chr1:27239945",10854,11115,9596,12094,10308
"chr1:27239946",10741,11051,9517,11987,10189
"chr1:27239947",10646,10991,9448,11910,10105
"chr1:27239948",10615,10954,9420,11884,10099
"chr1:27239949",10639,11001,9432,11893,10120
"chr1:27239950",10604,11006,9431,11877,10119
"chr1:27239951",10626,11034,9462,11873,10118
"chr1:27239952",10637,11023,9465,11866,10112
"chr1:27239953",10537,10975,9434,11819,10040
"chr1:27239954",10832,11203,9626,11988,10217
"chr1:27239955",10841,11182,9650,11976,10211
"chr1:27239956",10680,10989,9552,11851,10031
"chr1:27239957",10626,10928,9508,11760,9928
"chr1:27239958",10624,10914,9498,11785,9882
"chr1:27239959",10596,10874,9499,11756,9829
"chr1:27239960",10538,10836,9461,11722,9807
"chr1:27239961",10780,10963,9602,11880,9937
"chr1:27239962",10775,11008,9588,11860,9938
"chr1:27239963",10664,10939,9558,11759,9892
"chr1:27239964",10739,10891,9564,11796,9906
"chr1:27239965",10650,10833,9510,11698,9834
"chr1:27239966",10494,10669,9390,11574,9673
"chr1:27239967",10547,10698,9415,11606,9672
"chr1:27239968",10498,10625,9377,11541,9605
"chr1:27239969",10284,10398,9222,11390,9456
"chr1:27239970",10376,10453,9266,11401,9464
"chr1:27239971",10340,10423,9237,11386,9444
"chr1:27239972",10566,10580,9384,11536,9611
"chr1:27239973",10535,10564,9369,11529,9594
"chr1:27239974",10350,10431,9218,11313,9424
"chr1:27239975",10395,10424,9233,11332,9429
"chr1:27239976",10329,10399,9189,11243,9351
"chr1:27239977",10232,10297,9130,11153,9262
"chr1:27239978",10187,10220,9088,11114,9215
"chr1:27239979",10182,10148,9078,11099,9154
"chr1:27239980",10209,10168,9073,11082,9154
"chr1:27239981",10196,10146,9077,11071,9136
"chr1:27239982",10063,9943,8973,10941,9022
"chr1:27239983",10058,9925,8975,10953,8997
"chr1:27239984",10058,9924,8979,10963,8995
"chr1:27239985",9925,9832,8882,10849,8890
"chr1:27239986",9876,9760,8863,10798,8830
"chr1:27239987",9942,9750,8857,10820,8850
"chr1:27239988",9878,9644,8785,10743,8785
"chr1:27239989",9792,9465,8654,10581,8715
"chr1:27239990",9726,9366,8581,10515,8721
"chr1:27239991",9762,9374,8592,10508,8752
"chr1:27239992",9734,9352,8584,10474,8746
"chr1:27239993",9704,9330,8541,10457,8723
"chr1:27239994",9724,9291,8515,10431,8705
"chr1:27239995",9690,9282,8494,10421,8674
"chr1:27239996",9697,9306,8491,10422,8684
"chr1:27239997",9670,9268,8463,10324,8637
"chr1:27239998",9581,9148,8368,10244,8536
"chr1:27239999",9512,9022,8257,10156,8401
"chr1:27240000",9491,8992,8224,10111,8369
"chr1:27240001",9529,8999,8231,10123,8364
"chr1:27240002",9528,8937,8246,10124,8362
"chr1:27240003",9475,8897,8182,10054,8328
"chr1:27240004",9280,8789,8056,9899,8179
"chr1:27240005",9296,8783,8045,9849,8112
"chr1:27240006",9302,8759,7997,9784,8064
"chr1:27240007",9133,8460,7785,9543,7878
"chr1:27240008",8207,7556,6954,8568,7063
"chr1:27240009",8152,7493,6883,8491,6989
"chr1:27240010",8236,7571,6920,8582,7039
"chr1:27240011",8316,7642,6965,8660,7083
"chr1:27240012",8363,7640,7003,8707,7135
"chr1:27240013",8341,7631,6986,8700,7130
"chr1:27240014",8488,7727,7052,8823,7232
"chr1:27240015",8505,7696,7010,8832,7175
"chr1:27240016",8346,7561,6877,8709,7057
"chr1:27240017",8311,7494,6820,8629,6990
"chr1:27240018",8184,7382,6732,8509,6881
"chr1:27240019",8175,7398,6729,8470,6845
"chr1:27240020",8223,7414,6776,8508,6872
"chr1:27240021",8262,7466,6817,8572,6929
"chr1:27240022",8354,7490,6839,8618,6958
"chr1:27240023",8361,7504,6842,8664,6976
"chr1:27240024",8327,7438,6809,8639,6944
"chr1:27240025",8349,7461,6816,8669,6983
"chr1:27240026",8347,7445,6778,8630,6972
"chr1:27240027",8201,7331,6673,8435,6824
"chr1:27240028",8085,7257,6582,8338,6719
"chr1:27240029",8095,7279,6574,8344,6724
"chr1:27240030",8051,7200,6518,8279,6702
"chr1:27240031",8012,7147,6436,8195,6619
"chr1:27240032",8069,7230,6490,8273,6675
"chr1:27240033",8071,7260,6510,8310,6693
"chr1:27240034",8077,7274,6476,8294,6716
"chr1:27240035",7976,7187,6378,8188,6637
"chr1:27240036",7946,7176,6351,8149,6599
"chr1:27240037",7965,7137,6340,8152,6577
"chr1:27240038",7950,7127,6320,8138,6557
"chr1:27240039",7975,7116,6331,8150,6553
"chr1:27240040",8048,7122,6367,8192,6585
"chr1:27240041",8044,7142,6377,8171,6568
"chr1:27240042",8024,7080,6341,8141,6555
"chr1:27240043",8266,7258,6455,8326,6698
"chr1:27240044",8241,7264,6417,8275,6660
"chr1:27240045",8186,7211,6359,8240,6628
"chr1:27240046",8179,7223,6338,8247,6628
"chr1:27240047",8141,7187,6295,8215,6594
"chr1:27240048",8156,7198,6294,8223,6577
"chr1:27240049",8132,7184,6288,8212,6541
"chr1:27240050",8037,7130,6221,8138,6479
"chr1:27240051",8083,7216,6242,8205,6517
"chr1:27240052",8066,7204,6253,8264,6517
"chr1:27240053",8045,7164,6223,8249,6473
"chr1:27240054",8031,7140,6221,8245,6468
"chr1:27240055",7951,7077,6134,8134,6380
"chr1:27240056",7816,6998,6056,8050,6302
"chr1:27240057",7779,6949,6003,7993,6239
"chr1:27240058",7598,6818,5830,7839,6109
"chr1:27240059",7709,6895,5888,7993,6164
"chr1:27240060",7748,6935,5906,8001,6194
"chr1:27240061",7727,6890,5882,7967,6161
"chr1:27240062",7904,7043,5995,8080,6285
"chr1:27240063",7878,7027,5977,8087,6273
"chr1:27240064",7741,6925,5875,7955,6158
"chr1:27240065",7888,6997,5951,8042,6230
"chr1:27240066",7823,6867,5874,7941,6133
"chr1:27240067",7657,6758,5764,7840,6033
"chr1:27240068",7607,6707,5740,7819,6019
"chr1:27240069",7564,6685,5715,7792,5979
"chr1:27240070",7566,6664,5717,7780,5967
"chr1:27240071",7591,6703,5746,7813,5969
"chr1:27240072",7590,6699,5737,7833,5975
"chr1:27240073",7573,6698,5729,7773,5965
"chr1:27240074",7673,6770,5760,7820,6021
"chr1:27240075",7809,6832,5824,7894,6112
"chr1:27240076",7763,6796,5790,7798,6060
"chr1:27240077",7747,6809,5778,7842,6080
"chr1:27240078",7733,6830,5759,7813,6021
"chr1:27240079",7573,6620,5574,7647,5846
"chr1:27240080",7584,6570,5565,7600,5816
"chr1:27240081",7525,6514,5518,7546,5734
"chr1:27240082",7513,6477,5496,7546,5705
"chr1:27240083",7570,6554,5531,7563,5777
"chr1:27240084",7600,6575,5557,7653,5823
"chr1:27240085",7599,6588,5581,7673,5834
"chr1:27240086",7598,6599,5581,7646,5846
"chr1:27240087",7605,6604,5597,7700,5852
"chr1:27240088",7561,6573,5566,7693,5834
"chr1:27240089",7366,6424,5394,7564,5648
"chr1:27240090",7302,6402,5391,7584,5621
"chr1:27240091",7310,6415,5407,7674,5641
"chr1:27240092",7411,6551,5483,7924,5743
"chr1:27240093",7407,6563,5479,7929,5758
"chr1:27240094",7397,6569,5485,7919,5767
"chr1:27240095",7364,6580,5476,7903,5765
"chr1:27240096",7316,6542,5450,7887,5739
"chr1:27240097",7169,6419,5330,7760,5626
"chr1:27240098",7192,6430,5332,7759,5634
"chr1:27240099",7194,6458,5331,7797,5641
"chr1:27240100",7203,6450,5335,7805,5655
"chr1:27240101",7264,6490,5377,7821,5711
"chr1:27240102",7260,6451,5373,7812,5690
"chr1:27240103",7313,6495,5389,7843,5731
"chr1:27240104",7330,6469,5389,7836,5739
"chr1:27240105",7307,6448,5377,7846,5734
"chr1:27240106",7267,6438,5359,7800,5716
"chr1:27240107",7418,6531,5458,7895,5831
"chr1:27240108",7425,6534,5468,7925,5847
"chr1:27240109",7352,6510,5426,7898,5827
"chr1:27240110",7448,6572,5490,7956,5891
"chr1:27240111",7433,6536,5485,7940,5881
"chr1:27240112",7384,6490,5448,7908,5838
"chr1:27240113",7386,6461,5457,7918,5835
